Series Code,Series Name,Short definition,Topic
DT.GPA.DPPG,Average grace period on new external debt commitments (years),"Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.",Economic Policy & Debt: External debt: Terms
DT.GPA.OFFT,"Average grace period on new external debt commitments, official (years)","Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.",Economic Policy & Debt: External debt: Terms
DT.GPA.PRVT,"Average grace period on new external debt commitments, private (years)","Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency.",Economic Policy & Debt: External debt: Terms
DT.GRE.DPPG,Average grant element on new external debt commitments (%),"The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. To obtain the average, the grant elements for all public and publicly guaranteed loans have been weighted by the amounts of the loans. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Commitments cover the total amount of loans for which contracts were signed in the year specified. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Data for private nonguaranteed debt are not available.",Economic Policy & Debt: External debt: Terms
DT.GRE.OFFT,"Average grant element on new external debt commitments, official (%)","The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. To obtain the average, the grant elements for all public and publicly guaranteed loans have been weighted by the amounts of the loans. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Commitments cover the total amount of loans for which contracts were signed in the year specified. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.",Economic Policy & Debt: External debt: Terms
DT.GRE.PRVT,"Average grant element on new external debt commitments, private (%)","The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. To obtain the average, the grant elements for all public and publicly guaranteed loans have been weighted by the amounts of the loans. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Commitments cover the total amount of loans for which contracts were signed in the year specified. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency.",Economic Policy & Debt: External debt: Terms
DT.INR.DPPG,Average interest on new external debt commitments (%),"Interest represents the average interest rate on all new public and publicly guaranteed loans contracted during the year. To obtain the average, the interest rates for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.",Economic Policy & Debt: External debt: Terms
DT.INR.OFFT,"Average interest on new external debt commitments, official (%)","Interest represents the average interest rate on all new public and publicly guaranteed loans contracted during the year. To obtain the average, the interest rates for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.",Economic Policy & Debt: External debt: Terms
DT.INR.PRVT,"Average interest on new external debt commitments, private (%)","Interest represents the average interest rate on all new public and publicly guaranteed loans contracted during the year. To obtain the average, the interest rates for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency.",Economic Policy & Debt: External debt: Terms
DT.MAT.DPPG,Average maturity on new external debt commitments (years),"Maturity is the number of years to original maturity date, which is the sum of grace and repayment periods. Grace period for principal is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. The repayment period is the period from the first to last repayment of principal. To obtain the average, the maturity for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.",Economic Policy & Debt: External debt: Terms
DT.MAT.OFFT,"Average maturity on new external debt commitments, official (years)","Maturity is the number of years to original maturity date, which is the sum of grace and repayment periods. Grace period for principal is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. The repayment period is the period from the first to last repayment of principal. To obtain the average, the maturity for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.",Economic Policy & Debt: External debt: Terms
DT.MAT.PRVT,"Average maturity on new external debt commitments, private (years)","Maturity is the number of years to original maturity date, which is the sum of grace and repayment periods. Grace period for principal is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. The repayment period is the period from the first to last repayment of principal. To obtain the average, the maturity for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency.",Economic Policy & Debt: External debt: Terms
DT.AMT.BLAT.CB.CD,"CB, bilateral (AMT, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves.Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Amortization
DT.DIS.BLAT.CB.CD,"CB, bilateral (DIS, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DOD.BLAT.CB.CD,"CB, bilateral (DOD, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
